charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
,,,,,,,https://data.austintexas.gov/d/jhra-82n2,184,188,,0,,https://data.austintexas.gov/api/views/jhra-82n2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jhra-82n2,,,,,,75,96
,,,,,,,https://data.austintexas.gov/d/us2y-viyp,152,155,,0,,https://data.austintexas.gov/api/views/us2y-viyp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,us2y-viyp,,3,,3,,91,111
,1,,,,,,https://data.austintexas.gov/d/da96-d4bx,149,175,,0,,https://data.austintexas.gov/api/views/da96-d4bx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,da96-d4bx,,,,,,52,80
,,,,,,,https://data.austintexas.gov/d/6v99-vnq3,182,187,,0,,https://data.austintexas.gov/api/views/6v99-vnq3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6v99-vnq3,,,,,,84,107
,1,,,,,,https://data.austintexas.gov/d/6m7k-g59q,154,183,,0,,https://data.austintexas.gov/api/views/6m7k-g59q/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6m7k-g59q,,,,,,38,70
,,,,,,,https://data.austintexas.gov/d/7g8v-xxja,162,162,,0,,https://data.austintexas.gov/api/views/7g8v-xxja/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7g8v-xxja,,,,,,173,190
,,,,,,,https://data.austintexas.gov/d/e7fj-wxvd,163,166,7,7,,https://data.austintexas.gov/api/views/e7fj-wxvd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,e7fj-wxvd,,,,,,170,182
,1,,,,,,https://data.austintexas.gov/d/rbfq-6fgu,146,169,,0,,https://data.austintexas.gov/api/views/rbfq-6fgu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,rbfq-6fgu,,,,,,50,75
,1,,,,,,https://data.austintexas.gov/d/e2a3-3mi6,161,186,,0,,https://data.austintexas.gov/api/views/e2a3-3mi6/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,e2a3-3mi6,,,,,,62,87
,1,,,,,,https://data.austintexas.gov/d/ubs4-99wr,149,168,,0,,https://data.austintexas.gov/api/views/ubs4-99wr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ubs4-99wr,,,,,,61,81
,,,,,,,https://data.austintexas.gov/d/vuwy-s6qv,152,155,,0,,https://data.austintexas.gov/api/views/vuwy-s6qv/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vuwy-s6qv,,,,,,79,97
,,,,,,,https://data.austintexas.gov/d/6zan-sbz2,171,178,5,6,,https://data.austintexas.gov/api/views/6zan-sbz2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6zan-sbz2,,,,,,175,191
,,,,,,,https://data.austintexas.gov/d/cvnz-fq2z,147,149,,0,,https://data.austintexas.gov/api/views/cvnz-fq2z/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cvnz-fq2z,,1,,,,43,56
,,,,,,,https://data.austintexas.gov/d/w8qc-ggfy,161,164,,0,,https://data.austintexas.gov/api/views/w8qc-ggfy/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,w8qc-ggfy,,1,1,1,,55,69
,,,,,,,https://data.austintexas.gov/d/wfm8-s7zc,172,181,,0,,https://data.austintexas.gov/api/views/wfm8-s7zc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wfm8-s7zc,,,,,,66,85
,,,,,,,https://data.austintexas.gov/d/vyev-yeag,238,247,,0,,https://data.austintexas.gov/api/views/vyev-yeag/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vyev-yeag,,,,,,86,108
,,,,,,,https://data.austintexas.gov/d/w635-mmjr,150,157,2,2,,https://data.austintexas.gov/api/views/w635-mmjr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,w635-mmjr,,,,,,65,89
,1,,,,,,https://data.austintexas.gov/d/acyh-8suc,188,202,,0,,https://data.austintexas.gov/api/views/acyh-8suc/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,acyh-8suc,,,,,,70,82
,,,,,,,https://data.austintexas.gov/d/ekzc-6qg9,143,144,,0,,https://data.austintexas.gov/api/views/ekzc-6qg9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ekzc-6qg9,,,,,,113,127
,,,,,,,https://data.austintexas.gov/d/jmuq-5usm,210,217,,0,,https://data.austintexas.gov/api/views/jmuq-5usm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jmuq-5usm,,,,,,67,93
,,,,,,,https://data.austintexas.gov/d/pzmf-qcv7,140,140,,0,,https://data.austintexas.gov/api/views/pzmf-qcv7/metrics.json?start=1451606400000&end=1475539199999,,,,,,0,,269,pzmf-qcv7,,,,,,151,166
,,,,,,,https://data.austintexas.gov/d/f6gm-a8j6,208,213,1,1,,https://data.austintexas.gov/api/views/f6gm-a8j6/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,f6gm-a8j6,,,,,,59,82
,,,,,,,https://data.austintexas.gov/d/m87q-f83v,148,149,,0,,https://data.austintexas.gov/api/views/m87q-f83v/metrics.json?start=1451606400000&end=1475539199999,,2,,6,,,,,m87q-f83v,,,,,,52,65
,1,,,,,,https://data.austintexas.gov/d/qyb8-tmu7,137,157,,0,,https://data.austintexas.gov/api/views/qyb8-tmu7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qyb8-tmu7,,,,,,54,74
,,,,,,,https://data.austintexas.gov/d/erps-465e,134,136,4,4,,https://data.austintexas.gov/api/views/erps-465e/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,erps-465e,,,,,,147,161
,,,,,,,https://data.austintexas.gov/d/wj2d-jcey,108,108,193,193,,https://data.austintexas.gov/api/views/wj2d-jcey/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wj2d-jcey,,,,,,558,558
,,,,,,,https://data.austintexas.gov/d/a2zj-3chk,142,143,,0,,https://data.austintexas.gov/api/views/a2zj-3chk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,a2zj-3chk,,1,,,,53,59
,,,,,,,https://data.austintexas.gov/d/jnev-h7d5,158,158,,0,,https://data.austintexas.gov/api/views/jnev-h7d5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jnev-h7d5,,,,,,65,73
,,,,,,,https://data.austintexas.gov/d/m6s3-9c5q,156,156,,0,,https://data.austintexas.gov/api/views/m6s3-9c5q/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,m6s3-9c5q,,,,,,78,97
,,,,,,,https://data.austintexas.gov/d/im9u-snku,146,146,,0,,https://data.austintexas.gov/api/views/im9u-snku/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,im9u-snku,,1,,1,,46,60
,,,,,,,https://data.austintexas.gov/d/bvdj-b937,154,154,,0,,https://data.austintexas.gov/api/views/bvdj-b937/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,bvdj-b937,,,,,,135,135
,,,,,,,https://data.austintexas.gov/d/h77e-esmt,140,140,,0,,https://data.austintexas.gov/api/views/h77e-esmt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,h77e-esmt,,,,,,515,515
,,,,,,,https://data.austintexas.gov/d/3gcv-xuei,163,164,,0,,https://data.austintexas.gov/api/views/3gcv-xuei/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3gcv-xuei,,,,,,81,101
,,,,,,,https://data.austintexas.gov/d/q86y-e7vw,133,133,,0,,https://data.austintexas.gov/api/views/q86y-e7vw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,q86y-e7vw,,,,,,153,153
,,,,,,,https://data.austintexas.gov/d/rd5n-3pmq,138,146,,0,,https://data.austintexas.gov/api/views/rd5n-3pmq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,rd5n-3pmq,,,,,,39,56
1,1,1,1,,,,https://data.austintexas.gov/d/h3xg-ijts,82,82,1,1,,https://data.austintexas.gov/api/views/h3xg-ijts/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,h3xg-ijts,,,,,,97,97
,,,,,,,https://data.austintexas.gov/d/eiru-bwcv,126,126,4,4,,https://data.austintexas.gov/api/views/eiru-bwcv/metrics.json?start=1451606400000&end=1475539199999,1,1,4,4,,,,,eiru-bwcv,,,,,,68,68
,,,,,,,https://data.austintexas.gov/d/d9pb-3vh7,122,122,13,13,,https://data.austintexas.gov/api/views/d9pb-3vh7/metrics.json?start=1451606400000&end=1475539199999,2,2,1,1,,,,,d9pb-3vh7,,,,,,171,173
,,,,,,,https://data.austintexas.gov/d/7ad5-5kzx,123,123,,0,,https://data.austintexas.gov/api/views/7ad5-5kzx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7ad5-5kzx,,,,,,110,110
,,,,,,,https://data.austintexas.gov/d/i8u6-gqak,165,165,,0,,https://data.austintexas.gov/api/views/i8u6-gqak/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,i8u6-gqak,,,,,,48,56
,,,,,,,https://data.austintexas.gov/d/97sh-bm58,109,109,,0,,https://data.austintexas.gov/api/views/97sh-bm58/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,97sh-bm58,1,1,,,,61,62
,,,,,,,https://data.austintexas.gov/d/drfs-g7hw,144,145,,0,,https://data.austintexas.gov/api/views/drfs-g7hw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,drfs-g7hw,,,,,,81,90
,,,,,,,https://data.austintexas.gov/d/f94t-frec,139,139,,0,,https://data.austintexas.gov/api/views/f94t-frec/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,f94t-frec,,,,,,115,115
,,,,,,,https://data.austintexas.gov/d/8dff-2vkt,78,78,1,1,,https://data.austintexas.gov/api/views/8dff-2vkt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8dff-2vkt,1,1,,,,45,45
,,,,,,,https://data.austintexas.gov/d/8spj-utxs,172,172,,0,,https://data.austintexas.gov/api/views/8spj-utxs/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8spj-utxs,,,,,,,6
,,,,,,,https://data.austintexas.gov/d/3buj-7jze,112,112,464,466,,https://data.austintexas.gov/api/views/3buj-7jze/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3buj-7jze,2,2,2,2,,576,590
,,,,,,,https://data.austintexas.gov/d/g4cf-fbiv,114,114,,0,,https://data.austintexas.gov/api/views/g4cf-fbiv/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,g4cf-fbiv,,,,,,26,26
,,,,,,,https://data.austintexas.gov/d/b87j-3i3i,27,27,,0,,https://data.austintexas.gov/api/views/b87j-3i3i/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,b87j-3i3i,,,,,,25,26
,,,,,,,https://data.austintexas.gov/d/mt4k-z5hx,20,21,,0,,https://data.austintexas.gov/api/views/mt4k-z5hx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,mt4k-z5hx,,,,,,19,19
,,,,,,,https://data.austintexas.gov/d/ukf5-i76d,24,25,,0,,https://data.austintexas.gov/api/views/ukf5-i76d/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ukf5-i76d,,,,,,27,28
,,,,,,,https://data.austintexas.gov/d/qhxa-cink,20,21,,0,,https://data.austintexas.gov/api/views/qhxa-cink/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qhxa-cink,,,,,,22,22
,,,,,,,https://data.austintexas.gov/d/s7dz-xhcs,15,16,,0,,https://data.austintexas.gov/api/views/s7dz-xhcs/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,s7dz-xhcs,,,,,,13,13
,,,,,,,https://data.austintexas.gov/d/id6k-2trt,100,101,,0,,https://data.austintexas.gov/api/views/id6k-2trt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,id6k-2trt,,,,,,123,123
,,,,,,,https://data.austintexas.gov/d/pnzb-xcxc,92,92,,0,,https://data.austintexas.gov/api/views/pnzb-xcxc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pnzb-xcxc,,,,,,147,148
,,,,,,,https://data.austintexas.gov/d/ac5x-csd7,19,19,,0,,https://data.austintexas.gov/api/views/ac5x-csd7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ac5x-csd7,,,,,,18,18
1,1,2,2,,,,https://data.austintexas.gov/d/i8ty-ijab,13,13,,0,,https://data.austintexas.gov/api/views/i8ty-ijab/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,i8ty-ijab,,,,,,26,26
4,4,,,,,,https://data.austintexas.gov/d/irfb-9pg3,76,76,,0,,https://data.austintexas.gov/api/views/irfb-9pg3/metrics.json?start=1451606400000&end=1475539199999,,,,,3,3,643,668,irfb-9pg3,,,,,,26,26
,,,,,,,https://data.austintexas.gov/d/shpc-w93a,53,53,523,525,,https://data.austintexas.gov/api/views/shpc-w93a/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,shpc-w93a,,,,,,561,563
2,2,,,,,,https://data.austintexas.gov/d/hczw-bepk,27,27,,0,,https://data.austintexas.gov/api/views/hczw-bepk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hczw-bepk,,,,,,19,19
2,2,,,,,,https://data.austintexas.gov/d/9883-wyxr,37,37,,0,,https://data.austintexas.gov/api/views/9883-wyxr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9883-wyxr,,,,,,23,23
2,2,,,,,,https://data.austintexas.gov/d/nh2n-meax,20,20,,0,,https://data.austintexas.gov/api/views/nh2n-meax/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,nh2n-meax,,,,,,20,20
,,,,,,,https://data.austintexas.gov/d/vv43-e55n,5,5,,0,,https://data.austintexas.gov/api/views/vv43-e55n/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vv43-e55n,,,,,,67,67
,,,,,,,https://data.austintexas.gov/d/sc8s-w4ka,12,13,,0,,https://data.austintexas.gov/api/views/sc8s-w4ka/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,sc8s-w4ka,,,,,,37,37
1,1,,,,,,https://data.austintexas.gov/d/4q6k-ws8w,8,8,,0,,https://data.austintexas.gov/api/views/4q6k-ws8w/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4q6k-ws8w,,,,,,5,5
1,1,,,,,,https://data.austintexas.gov/d/7842-dt52,25,25,,0,,https://data.austintexas.gov/api/views/7842-dt52/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7842-dt52,,,,,,20,21
,,,,,,,https://data.austintexas.gov/d/q5ym-htjz,6,6,,0,,https://data.austintexas.gov/api/views/q5ym-htjz/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,q5ym-htjz,,,,,,49,49
1,1,,,,,,https://data.austintexas.gov/d/s37r-gu8j,11,11,,0,,https://data.austintexas.gov/api/views/s37r-gu8j/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,s37r-gu8j,,,,,,7,7
1,1,,,,,,https://data.austintexas.gov/d/7u4f-uwua,25,25,,0,,https://data.austintexas.gov/api/views/7u4f-uwua/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7u4f-uwua,,,,,,20,20
,,,,,,,https://data.austintexas.gov/d/iydp-s2cf,19,19,,0,,https://data.austintexas.gov/api/views/iydp-s2cf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,iydp-s2cf,,,,,,67,67
,,,,,,,https://data.austintexas.gov/d/6egj-ay6c,9,10,2,2,,https://data.austintexas.gov/api/views/6egj-ay6c/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6egj-ay6c,,,,,,12,12
,,,,,,,https://data.austintexas.gov/d/qxx9-6iwk,7,7,,0,,https://data.austintexas.gov/api/views/qxx9-6iwk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qxx9-6iwk,,,,,,61,61
,,,,,,,https://data.austintexas.gov/d/j9xh-v686,7,7,,0,,https://data.austintexas.gov/api/views/j9xh-v686/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,j9xh-v686,,,,,,10,10
3,3,,,,,,https://data.austintexas.gov/d/wzpn-8njw,5,6,,0,,https://data.austintexas.gov/api/views/wzpn-8njw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wzpn-8njw,,,,,,4,4
1,1,,,,,,https://data.austintexas.gov/d/48n4-9een,6,7,,0,,https://data.austintexas.gov/api/views/48n4-9een/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,48n4-9een,,,,,,8,8
,,,,,,,https://data.austintexas.gov/d/ri2e-zk22,31,31,,0,,https://data.austintexas.gov/api/views/ri2e-zk22/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ri2e-zk22,,,,,,20,20
,,,,,,,https://data.austintexas.gov/d/5efd-pip9,26,26,,0,,https://data.austintexas.gov/api/views/5efd-pip9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5efd-pip9,,,,,,20,20
9,9,,,,,,https://data.austintexas.gov/d/x6r4-uv3q,31,32,,0,,https://data.austintexas.gov/api/views/x6r4-uv3q/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,x6r4-uv3q,,,,,,18,18
,,,,,,,https://data.austintexas.gov/d/aw6n-x665,37,37,,0,,https://data.austintexas.gov/api/views/aw6n-x665/metrics.json?start=1451606400000&end=1475539199999,1,1,1,1,,,,,aw6n-x665,,,,,,29,29
3,3,10,10,,,,https://data.austintexas.gov/d/3kfv-biw6,14,15,,0,,https://data.austintexas.gov/api/views/3kfv-biw6/metrics.json?start=1451606400000&end=1475539199999,3,3,5,5,,,,,3kfv-biw6,,,,,,146,147
4,4,,,,,,https://data.austintexas.gov/d/fk8g-gvyn,36,36,1,1,,https://data.austintexas.gov/api/views/fk8g-gvyn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fk8g-gvyn,,,,,,15,15
,,,,,,,https://data.austintexas.gov/d/kccz-7kam,9,11,,0,,https://data.austintexas.gov/api/views/kccz-7kam/metrics.json?start=1451606400000&end=1475539199999,2,2,4,4,,,,,kccz-7kam,,,,,,44,45
,,,,,,,https://data.austintexas.gov/d/a3pf-9u7n,27,28,,0,,https://data.austintexas.gov/api/views/a3pf-9u7n/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,a3pf-9u7n,1,1,,,,24,24
,,,,,,,https://data.austintexas.gov/d/3p9m-wp4t,14,14,,0,,https://data.austintexas.gov/api/views/3p9m-wp4t/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3p9m-wp4t,,,,,,15,15
,,,,,,,https://data.austintexas.gov/d/jrzy-k38j,31,33,,0,,https://data.austintexas.gov/api/views/jrzy-k38j/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jrzy-k38j,,,,,,21,22
,,,,,,,https://data.austintexas.gov/d/2u4b-s8xd,18,19,,0,,https://data.austintexas.gov/api/views/2u4b-s8xd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,2u4b-s8xd,,,,,,57,58
,,,,,,,https://data.austintexas.gov/d/q2z3-aekt,8,9,,0,,https://data.austintexas.gov/api/views/q2z3-aekt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,q2z3-aekt,,,,,,10,11
,,,,not_found,,,https://data.austintexas.gov/d/fe74-agg3,,,,,True,https://data.austintexas.gov/api/views/fe74-agg3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fe74-agg3,,,,,Cannot find view with id fe74-agg3,,
,,,,,,,https://data.austintexas.gov/d/gd3e-xut2,20,21,,0,,https://data.austintexas.gov/api/views/gd3e-xut2/metrics.json?start=1451606400000&end=1475539199999,1,1,1,1,,,,,gd3e-xut2,,,,,,96,96
1,1,,,,,,https://data.austintexas.gov/d/me9g-u32f,6,7,,0,,https://data.austintexas.gov/api/views/me9g-u32f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,me9g-u32f,,,,,,7,7
2,2,7,7,,,,https://data.austintexas.gov/d/ss6t-rumq,40,40,,0,,https://data.austintexas.gov/api/views/ss6t-rumq/metrics.json?start=1451606400000&end=1475539199999,3,3,2,2,,,,,ss6t-rumq,,,,,,90,90
,,,,,,,https://data.austintexas.gov/d/teb3-cwz9,18,18,,0,,https://data.austintexas.gov/api/views/teb3-cwz9/metrics.json?start=1451606400000&end=1475539199999,1,1,1,1,,,,,teb3-cwz9,,,,,,70,70
2,2,2,2,,,,https://data.austintexas.gov/d/fnns-rqqh,13,15,,0,,https://data.austintexas.gov/api/views/fnns-rqqh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fnns-rqqh,,,,,,39,39
2,2,4,4,,,,https://data.austintexas.gov/d/6yrz-de8g,21,21,,0,,https://data.austintexas.gov/api/views/6yrz-de8g/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6yrz-de8g,,,,,,42,42
3,3,2,2,,,,https://data.austintexas.gov/d/d683-uqui,16,17,,0,,https://data.austintexas.gov/api/views/d683-uqui/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,d683-uqui,,,,,,27,27
,,,,,,,https://data.austintexas.gov/d/tyr3-rmv9,18,18,,0,,https://data.austintexas.gov/api/views/tyr3-rmv9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tyr3-rmv9,,,,,,47,48
2,2,2,2,,,,https://data.austintexas.gov/d/mpip-i8mq,19,20,,0,,https://data.austintexas.gov/api/views/mpip-i8mq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,mpip-i8mq,,,,,,28,29
4,4,16,16,,,,https://data.austintexas.gov/d/ddh8-gyev,13,13,,0,,https://data.austintexas.gov/api/views/ddh8-gyev/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ddh8-gyev,,,,,,65,68
,,,,not_found,,,https://data.austintexas.gov/d/8r2c-upwq,,,,,True,https://data.austintexas.gov/api/views/8r2c-upwq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8r2c-upwq,,,,,Cannot find view with id 8r2c-upwq,,
,,,,,,,https://data.austintexas.gov/d/ruj7-9gwq,1,1,3,9,,https://data.austintexas.gov/api/views/ruj7-9gwq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ruj7-9gwq,,,,,,8,14
,,,,,,,https://data.austintexas.gov/d/dbg7-gt7k,52,52,3,3,,https://data.austintexas.gov/api/views/dbg7-gt7k/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,dbg7-gt7k,,,,,,150,152
,,,,,,,https://data.austintexas.gov/d/eyaq-uimn,13,14,,0,,https://data.austintexas.gov/api/views/eyaq-uimn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,eyaq-uimn,,,,,,55,55
,,,,not_found,,,https://data.austintexas.gov/d/xqf2-udyn,,,,,True,https://data.austintexas.gov/api/views/xqf2-udyn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xqf2-udyn,,,,,Cannot find view with id xqf2-udyn,,
,,,,,,,https://data.austintexas.gov/d/efct-8fs9,11,14,,0,,https://data.austintexas.gov/api/views/efct-8fs9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,efct-8fs9,,,,,,47,47
2,2,3,3,,,,https://data.austintexas.gov/d/sjzt-gzvd,44,44,,0,,https://data.austintexas.gov/api/views/sjzt-gzvd/metrics.json?start=1451606400000&end=1475539199999,2,2,,,,,,,sjzt-gzvd,,,,,,80,81
1,1,1,1,,,,https://data.austintexas.gov/d/kx5w-sw6u,32,32,1,1,,https://data.austintexas.gov/api/views/kx5w-sw6u/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,kx5w-sw6u,,,,,,50,50
13,13,,,,,,https://data.austintexas.gov/d/9skn-sqpd,20,20,,0,,https://data.austintexas.gov/api/views/9skn-sqpd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9skn-sqpd,,,,,,31,31
,,,,not_found,,,https://data.austintexas.gov/d/9r6u-h97f,,,,,True,https://data.austintexas.gov/api/views/9r6u-h97f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9r6u-h97f,,,,,Cannot find view with id 9r6u-h97f,,
,,,,,,,https://data.austintexas.gov/d/22wq-47zy,43,43,,0,,https://data.austintexas.gov/api/views/22wq-47zy/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,22wq-47zy,1,1,1,1,,39,39
3,3,,,,,,https://data.austintexas.gov/d/uc3g-2rk9,32,32,,0,,https://data.austintexas.gov/api/views/uc3g-2rk9/metrics.json?start=1451606400000&end=1475539199999,,,,,4,4,1179,1279,uc3g-2rk9,,,,,,24,24
,,,,,,,https://data.austintexas.gov/d/pjaq-d4i3,117,120,8,8,,https://data.austintexas.gov/api/views/pjaq-d4i3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pjaq-d4i3,,,,,,260,260
10,10,3,3,,,,https://data.austintexas.gov/d/skws-9use,98,98,,0,,https://data.austintexas.gov/api/views/skws-9use/metrics.json?start=1451606400000&end=1475539199999,,,,,6,6,743,781,skws-9use,,,,,,49,49
,,,,,,,https://data.austintexas.gov/d/vhr5-vvw2,116,116,4,4,,https://data.austintexas.gov/api/views/vhr5-vvw2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vhr5-vvw2,,,,,,190,190
,,,,,,,https://data.austintexas.gov/d/bdrj-yu8a,37,37,,0,,https://data.austintexas.gov/api/views/bdrj-yu8a/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,bdrj-yu8a,,,,,,54,54
,,,,,,,https://data.austintexas.gov/d/uv94-fems,27,27,,0,,https://data.austintexas.gov/api/views/uv94-fems/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,uv94-fems,,,,,,32,32
,,,,,,,https://data.austintexas.gov/d/e9x2-49sw,112,113,12,12,,https://data.austintexas.gov/api/views/e9x2-49sw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,e9x2-49sw,,,,,,227,231
,,,,,,,https://data.austintexas.gov/d/u3cd-iecr,29,29,,0,,https://data.austintexas.gov/api/views/u3cd-iecr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,u3cd-iecr,,,,,,54,54
,,,,,,,https://data.austintexas.gov/d/fw3c-w5de,75,78,,0,,https://data.austintexas.gov/api/views/fw3c-w5de/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fw3c-w5de,,,,,,37,37
,,,,,,,https://data.austintexas.gov/d/t4zw-f3yr,81,81,,0,,https://data.austintexas.gov/api/views/t4zw-f3yr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,t4zw-f3yr,,,,,,32,32
,,,,,,,https://data.austintexas.gov/d/scy3-ke5d,69,69,1,1,,https://data.austintexas.gov/api/views/scy3-ke5d/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,scy3-ke5d,,,,,,27,28
,,,,,,,https://data.austintexas.gov/d/yph5-vg2u,115,115,1039,1058,,https://data.austintexas.gov/api/views/yph5-vg2u/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,yph5-vg2u,,,,,,1182,1202
,,,,,,,https://data.austintexas.gov/d/spbg-9v94,486,499,,0,,https://data.austintexas.gov/api/views/spbg-9v94/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,spbg-9v94,,,,,,337,338
,,,,,,,https://data.austintexas.gov/d/ngdb-nm9b,59,59,526,528,,https://data.austintexas.gov/api/views/ngdb-nm9b/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ngdb-nm9b,,,,,,633,635
